 记录条数  时间  bin号  晶号  电压(V)  反向漏电流(uA)  色坐标(x,y)  相关色温(K)  色差  主波长(nm)  色纯度(%)  峰值波长(nm)  显色性指数  光通量(lm)  辐射通量(mW)  光效 
1295 2017_06_07 15:15:12 710 402.9040.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1296 2017_06_07 15:15:12 739 402.8890.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1297 2017_06_07 15:15:12 764 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.1非数字1.000.000.00
1298 2017_06_07 15:15:12 788 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.1非数字1.000.000.00
1299 2017_06_07 15:15:12 812 402.8930.31.0100,0.01001001-6.56E-001769.0100.0571.1非数字1.000.000.00
1300 2017_06_07 15:15:12 836 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.1非数字1.000.000.00
1301 2017_06_07 15:15:12 860 402.8910.21.0100,0.01001001-6.56E-001769.0100.0571.1非数字1.000.000.00
1302 2017_06_07 15:15:12 883 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.1非数字1.000.000.00
1303 2017_06_07 15:15:12 906 402.8990.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1304 2017_06_07 15:15:12 930 402.8910.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1305 2017_06_07 15:15:12 953 402.8970.31.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1306 2017_06_07 15:15:12 982 402.8970.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1307 2017_06_07 15:15:13 008 402.9020.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1308 2017_06_07 15:15:13 033 402.8910.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1309 2017_06_07 15:15:13 059 402.8920.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1310 2017_06_07 15:15:13 085 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1311 2017_06_07 15:15:13 111 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1312 2017_06_07 15:15:13 138 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1313 2017_06_07 15:15:13 164 402.8920.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1314 2017_06_07 15:15:13 190 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1315 2017_06_07 15:15:13 217 402.8920.31.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1316 2017_06_07 15:15:13 243 402.8940.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1317 2017_06_07 15:15:13 268 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1318 2017_06_07 15:15:13 292 402.8950.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1319 2017_06_07 15:15:13 316 402.8920.31.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1320 2017_06_07 15:15:13 339 402.8890.21.0100,0.01001001-6.56E-001769.0100.0571.1非数字1.000.000.00
1321 2017_06_07 15:15:13 363 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.1非数字1.000.000.00
1322 2017_06_07 15:15:13 386 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.1非数字1.000.000.00
1323 2017_06_07 15:15:13 410 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.1非数字1.000.000.00
1324 2017_06_07 15:15:13 435 402.8980.21.0100,0.01001001-6.56E-001769.0100.0571.1非数字1.000.000.00
1325 2017_06_07 15:15:13 460 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1326 2017_06_07 15:15:13 485 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1327 2017_06_07 15:15:13 512 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1328 2017_06_07 15:15:13 536 402.8900.31.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1329 2017_06_07 15:15:13 564 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1330 2017_06_07 15:15:13 592 402.8920.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1331 2017_06_07 15:15:13 617 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1332 2017_06_07 15:15:13 644 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1333 2017_06_07 15:15:13 671 402.8980.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1334 2017_06_07 15:15:13 696 402.8980.31.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1335 2017_06_07 15:15:13 722 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1336 2017_06_07 15:15:13 745 402.8950.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1337 2017_06_07 15:15:13 768 402.8950.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1338 2017_06_07 15:15:13 792 402.9070.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1339 2017_06_07 15:15:13 816 402.8920.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1340 2017_06_07 15:15:13 840 402.9010.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1341 2017_06_07 15:15:13 863 402.8970.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1342 2017_06_07 15:15:13 886 402.9070.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1343 2017_06_07 15:15:13 909 402.8870.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1344 2017_06_07 15:15:13 933 402.8960.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1345 2017_06_07 15:15:13 957 402.8940.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1346 2017_06_07 15:15:13 982 402.9010.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1347 2017_06_07 15:15:14 005 402.9010.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1348 2017_06_07 15:15:14 029 402.8900.21.0100,0.01001001-6.56E-001769.0100.0695.3非数字1.000.000.00
1349 2017_06_07 15:15:14 053 402.8890.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1350 2017_06_07 15:15:14 076 402.9010.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1351 2017_06_07 15:15:14 100 402.8940.31.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1352 2017_06_07 15:15:14 123 402.9020.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1353 2017_06_07 15:15:14 148 402.8950.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1354 2017_06_07 15:15:14 171 402.8880.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1355 2017_06_07 15:15:14 194 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1356 2017_06_07 15:15:14 219 402.8960.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1357 2017_06_07 15:15:14 244 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1358 2017_06_07 15:15:14 268 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1359 2017_06_07 15:15:14 292 402.9000.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1360 2017_06_07 15:15:14 315 402.8970.31.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1361 2017_06_07 15:15:14 338 402.9040.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1362 2017_06_07 15:15:14 362 402.8920.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1363 2017_06_07 15:15:14 385 402.9000.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1364 2017_06_07 15:15:14 408 402.8970.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1365 2017_06_07 15:15:14 431 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1366 2017_06_07 15:15:14 455 402.8910.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1367 2017_06_07 15:15:14 478 402.8950.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1368 2017_06_07 15:15:14 503 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1369 2017_06_07 15:15:14 526 402.9030.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1370 2017_06_07 15:15:14 552 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1371 2017_06_07 15:15:14 583 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1372 2017_06_07 15:15:14 610 402.9050.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1373 2017_06_07 15:15:14 637 402.8890.31.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1374 2017_06_07 15:15:14 664 402.9010.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1375 2017_06_07 15:15:14 691 402.9120.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1376 2017_06_07 15:15:14 717 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1377 2017_06_07 15:15:14 745 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1378 2017_06_07 15:15:14 772 402.8970.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1379 2017_06_07 15:15:14 799 402.8950.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1380 2017_06_07 15:15:14 823 402.8870.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1381 2017_06_07 15:15:14 849 402.8890.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1382 2017_06_07 15:15:14 873 402.8970.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1383 2017_06_07 15:15:14 897 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1384 2017_06_07 15:15:14 920 402.8940.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1385 2017_06_07 15:15:14 943 402.8970.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1386 2017_06_07 15:15:14 967 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1387 2017_06_07 15:15:14 990 402.8940.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1388 2017_06_07 15:15:15 018 402.8930.31.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1389 2017_06_07 15:15:15 047 402.8920.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1390 2017_06_07 15:15:15 077 402.8910.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1391 2017_06_07 15:15:15 110 402.8910.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1392 2017_06_07 15:15:15 140 402.8910.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1393 2017_06_07 15:15:15 171 402.8960.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1394 2017_06_07 15:15:15 201 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1395 2017_06_07 15:15:15 232 402.9060.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1396 2017_06_07 15:15:15 257 402.8950.31.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1397 2017_06_07 15:15:15 284 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1398 2017_06_07 15:15:15 310 402.8920.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1399 2017_06_07 15:15:15 336 402.9000.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1400 2017_06_07 15:15:15 362 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1401 2017_06_07 15:15:15 389 402.8940.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1402 2017_06_07 15:15:15 414 402.9030.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1403 2017_06_07 15:15:15 442 402.8920.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1404 2017_06_07 15:15:15 465 402.8980.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1405 2017_06_07 15:15:15 489 402.8890.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1406 2017_06_07 15:15:15 513 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1407 2017_06_07 15:15:15 535 402.8890.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1408 2017_06_07 15:15:15 559 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1409 2017_06_07 15:15:15 583 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1410 2017_06_07 15:15:15 606 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1411 2017_06_07 15:15:15 630 402.9000.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1412 2017_06_07 15:15:15 653 402.8920.21.0100,0.01001001-6.56E-001769.0100.0574.2非数字1.000.000.00
1413 2017_06_07 15:15:15 680 402.8930.21.0100,0.01001001-6.56E-001769.0100.0574.2非数字1.000.000.00
1414 2017_06_07 15:15:15 705 402.8920.21.0100,0.01001001-6.56E-001769.0100.0574.2非数字1.000.000.00
1415 2017_06_07 15:15:15 734 402.8910.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1416 2017_06_07 15:15:15 762 402.8890.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1417 2017_06_07 15:15:15 786 402.8940.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1418 2017_06_07 15:15:15 810 402.8940.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1419 2017_06_07 15:15:15 834 402.8970.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1420 2017_06_07 15:15:15 859 402.8930.31.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1421 2017_06_07 15:15:15 882 402.8940.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1422 2017_06_07 15:15:15 906 402.8920.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1423 2017_06_07 15:15:15 929 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1424 2017_06_07 15:15:15 952 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1425 2017_06_07 15:15:15 975 402.8970.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1426 2017_06_07 15:15:15 999 402.8880.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1427 2017_06_07 15:15:16 022 402.8950.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1428 2017_06_07 15:15:16 046 402.8990.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1429 2017_06_07 15:15:16 070 402.8970.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1430 2017_06_07 15:15:16 094 402.8940.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1431 2017_06_07 15:15:16 118 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1432 2017_06_07 15:15:16 142 402.8970.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1433 2017_06_07 15:15:16 167 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1434 2017_06_07 15:15:16 190 402.8940.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1435 2017_06_07 15:15:16 214 402.8970.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1436 2017_06_07 15:15:16 238 402.8930.31.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1437 2017_06_07 15:15:16 262 402.8910.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1438 2017_06_07 15:15:16 286 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1439 2017_06_07 15:15:16 309 402.8940.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1440 2017_06_07 15:15:16 332 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1441 2017_06_07 15:15:16 355 402.8980.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1442 2017_06_07 15:15:16 379 402.8910.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1443 2017_06_07 15:15:16 404 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1444 2017_06_07 15:15:16 427 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1445 2017_06_07 15:15:16 450 402.8970.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1446 2017_06_07 15:15:16 473 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1447 2017_06_07 15:15:16 497 402.8950.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1448 2017_06_07 15:15:16 520 402.8980.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1449 2017_06_07 15:15:16 543 402.8870.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1450 2017_06_07 15:15:16 569 402.8950.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1451 2017_06_07 15:15:16 596 402.8910.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1452 2017_06_07 15:15:16 622 402.8950.31.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1453 2017_06_07 15:15:16 647 402.8970.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1454 2017_06_07 15:15:16 673 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1455 2017_06_07 15:15:16 701 402.8920.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1456 2017_06_07 15:15:16 728 402.8910.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1457 2017_06_07 15:15:16 753 402.8960.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1458 2017_06_07 15:15:16 779 402.8920.31.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1459 2017_06_07 15:15:16 802 402.8940.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1460 2017_06_07 15:15:16 824 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1461 2017_06_07 15:15:16 848 402.8920.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1462 2017_06_07 15:15:16 874 402.8920.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1463 2017_06_07 15:15:16 902 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1464 2017_06_07 15:15:16 928 402.8870.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1465 2017_06_07 15:15:16 955 402.8940.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1466 2017_06_07 15:15:16 980 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1467 2017_06_07 15:15:17 004 402.8880.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1468 2017_06_07 15:15:17 028 402.8900.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1469 2017_06_07 15:15:17 051 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1470 2017_06_07 15:15:17 075 402.8950.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1471 2017_06_07 15:15:17 099 402.8970.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1472 2017_06_07 15:15:17 124 402.8930.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1473 2017_06_07 15:15:17 148 402.8910.21.0100,0.01001001-6.56E-001769.0100.0506.4非数字1.000.000.00
1474 2017_06_07 15:15:17 173 402.9020.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1475 2017_06_07 15:15:17 199 402.9030.31.0100,0.01001001-6.56E-001769.0100.0700.6非数字1.000.000.00
1476 2017_06_07 15:15:17 222 402.9050.21.0100,0.01001001-6.56E-001769.0100.0571.0非数字1.000.000.00
1477 2017_06_07 15:15:17 247 402.8940.21.0100,0.01001001-6.56E-001769.0100.0518.2非数字1.000.000.00
1478 2017_06_07 15:15:17 271 402.8930.21.0100,0.01001001-6.56E-001769.0100.0518.2非数字1.000.000.00
1479 2017_06_07 15:15:17 295 402.8900.21.0100,0.01001001-6.56E-001769.0100.0518.2非数字1.000.000.00
1480 2017_06_07 15:15:17 319 402.8960.21.0100,0.01001001-6.56E-001769.0100.0518.2非数字1.000.000.00
1481 2017_06_07 15:15:17 342 402.8970.21.0100,0.01001001-6.56E-001769.0100.0573.7非数字1.000.000.00
1482 2017_06_07 15:15:17 367 402.8930.21.0100,0.01001001-6.56E-001769.0100.0573.7非数字1.000.000.00
1483 2017_06_07 15:15:17 390 402.8900.21.0100,0.01001001-6.56E-001769.0100.0518.2非数字1.000.000.00
1484 2017_06_07 15:15:17 417 402.8900.21.0100,0.01001001-6.56E-001769.0100.0518.3非数字1.000.000.00
1485 2017_06_07 15:15:17 442 402.8930.21.0100,0.01001001-6.56E-001769.0100.0518.2非数字1.000.000.00
1486 2017_06_07 15:15:17 467 402.8900.21.0100,0.01001001-6.56E-001769.0100.0518.2非数字1.000.000.00
1487 2017_06_07 15:15:17 491 402.8960.21.0100,0.01001001-6.56E-001769.0100.0518.2非数字1.000.000.00
1488 2017_06_07 15:15:17 515 402.8990.21.0100,0.01001001-6.56E-001769.0100.0518.2非数字1.000.000.00
1489 2017_06_07 15:15:17 539 402.8940.21.0100,0.01001001-6.56E-001769.0100.0518.2非数字1.000.000.00
1490 2017_06_07 15:15:17 562 402.8880.21.0100,0.01001001-6.56E-001769.0100.0518.2非数字1.000.000.00
1491 2017_06_07 15:15:17 585 402.8920.21.0100,0.01001001-6.56E-001769.0100.0518.2非数字1.000.000.00
1492 2017_06_07 15:15:17 609 402.8910.21.0100,0.01001001-6.56E-001769.0100.0518.2非数字1.000.000.00
1493 2017_06_07 15:15:17 635 402.9000.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
1494 2017_06_07 15:15:17 661 402.8900.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
1495 2017_06_07 15:15:17 688 402.8900.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
1496 2017_06_07 15:15:17 716 402.8950.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
1497 2017_06_07 15:15:17 740 402.8930.31.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
1498 2017_06_07 15:15:17 765 402.8970.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
1499 2017_06_07 15:15:17 789 402.8960.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
1500 2017_06_07 15:15:17 815 402.8970.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
1501 2017_06_07 15:15:17 839 402.8970.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
1502 2017_06_07 15:15:17 863 402.9000.21.0100,0.01001001-6.56E-001769.0100.0577.7非数字1.000.000.00
1503 2017_06_07 15:15:17 887 402.8980.21.0100,0.01001001-6.56E-001769.0100.0577.9非数字1.000.000.00
1504 2017_06_07 15:15:17 910 402.8920.21.0100,0.01001001-6.56E-001769.0100.0558.4非数字1.000.000.00
1505 2017_06_07 15:15:17 935 402.8930.21.0100,0.01001001-6.56E-001769.0100.0558.4非数字1.000.000.00
1506 2017_06_07 15:15:17 958 402.8930.21.0100,0.01001001-6.56E-001769.0100.0558.4非数字1.000.000.00
1507 2017_06_07 15:15:17 982 402.8930.31.0100,0.01001001-6.56E-001769.0100.0558.4非数字1.000.000.00
1508 2017_06_07 15:15:18 006 402.8950.21.0100,0.01001001-6.56E-001769.0100.0497.2非数字1.000.000.00
1509 2017_06_07 15:15:18 028 402.8980.21.0100,0.01001001-6.56E-001769.0100.0497.8非数字1.000.000.00
1510 2017_06_07 15:15:18 053 402.8930.21.0100,0.01001001-6.56E-001769.0100.0497.8非数字1.000.000.00
1511 2017_06_07 15:15:18 075 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.4非数字1.000.000.00
1512 2017_06_07 15:15:18 100 402.8940.21.0100,0.01001001-6.56E-001769.0100.0497.8非数字1.000.000.00
1513 2017_06_07 15:15:18 125 402.8940.21.0100,0.01001001-6.56E-001769.0100.0497.7非数字1.000.000.00
1514 2017_06_07 15:15:18 151 402.8920.21.0100,0.01001001-6.56E-001769.0100.0497.8非数字1.000.000.00
1515 2017_06_07 15:15:18 176 402.8970.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
1516 2017_06_07 15:15:18 201 402.8930.21.0100,0.01001001-6.56E-001769.0100.0615.1非数字1.000.000.00
1517 2017_06_07 15:15:18 227 402.8930.21.0100,0.01001001-6.56E-001769.0100.0615.1非数字1.000.000.00
1518 2017_06_07 15:15:18 251 402.8930.21.0100,0.01001001-6.56E-001769.0100.0615.1非数字1.000.000.00
1519 2017_06_07 15:15:18 275 402.8930.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
1520 2017_06_07 15:15:18 299 402.8900.31.0100,0.01001001-6.56E-001769.0100.0497.7非数字1.000.000.00
1521 2017_06_07 15:15:18 323 402.8920.21.0100,0.01001001-6.56E-001769.0100.0497.7非数字1.000.000.00
1522 2017_06_07 15:15:18 347 402.8960.21.0100,0.01001001-6.56E-001769.0100.0497.6非数字1.000.000.00
1523 2017_06_07 15:15:18 371 402.8930.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
1524 2017_06_07 15:15:18 397 402.8900.21.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
1525 2017_06_07 15:15:18 421 402.8980.31.0100,0.01001001-6.56E-001769.0100.0550.7非数字1.000.000.00
